"","rank","title","authors","affiliations","pubtitle","punumber","py","volume","issue","part","spage","epage","arnumber","abstract","doi","mdurl","pdf","pubtype","publisher","isbn","issn","publicationId","thesaurusterms","controlledterms","uncontrolledterms","htmlFlag"
"625","625","Oversampled Graph Laplacian Matrix for Graph Filter Banks","Sakiyama, A.;  Tanaka, Y.","Grad. Sch. of BASE, Tokyo Univ. of Agric. & Technol., Koganei, Japan","Signal Processing, IEEE Transactions on","78","2014","62","24","","6425","6437","6937182","We describe a method of oversampling signals defined on a weighted graph by using an oversampled graph Laplacian matrix. The conventional method of using critically sampled graph filter banks has to decompose the original graph into bipartite subgraphs, and a transform has to be performed on each subgraph because of the spectral folding phenomenon caused by downsampling of graph signals. Therefore, the conventional method cannot always utilize all edges of the original graph in a single stage transformation. Our method is based on oversampling of the underlying graph itself, and it can append nodes and edges to the graph somewhat arbitrarily. We use this approach to make one oversampled bipartite graph that includes all edges of the original non-bipartite graph. We apply the oversampled graph with the critically sampled graph filter bank or the oversampled one for decomposing graph signals and show the performances on some experiments.","10.1109/TSP.2014.2365761","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6937182&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6937182","Journals & Magazines","IEEE","","1053-587X","6937182","Bipartite graph|Eigenvalues and eigenfunctions|Laplace equations|Licenses|Matrix decomposition|Signal processing|Transforms","Laplace equations|channel bank filters|graph theory|matrix algebra|signal processing","","1"
"626","626","Periodic Training Sequence Aided In-Band OSNR Monitoring in Digital Coherent Receiver","Donghe Zhao;  Lixia Xi;  Xianfeng Tang;  Wenbo Zhang;  Yaojun Qiao;  Xiaoguang Zhang","State Key Lab. of Inf. Photonics & Opt. Commun., Beijing Univ. of Posts & Telecommun., Beijing, China","Photonics Journal, IEEE","4563994","2014","6","4","","1","8","6857332","We propose and demonstrate a new data-aided in-band optical-signal-to-noise ratio (OSNR) monitoring method, which employs the periodic property of a specially designed short training sequence to differentiate the signal power from noise and is proved to be insensitive to the first-order polarization mode dispersion (PMD). This method is verified in a typical 112-Gb/s polarization multiplexed-quadrature phase shift keying and a 224-Gb/s polarization multiplexed-16 quadrature amplitude modulation coherent optical transmission system. The results show that the method is highly accurate, with the monitoring error less than 1 dB in the OSNR range of 7-30 dB under different linewidths and has good robustness to a large amount of residual accumulated CD and first-order PMD.","10.1109/JPHOT.2014.2339319","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6857332&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6857332","Journals & Magazines","IEEE","","1943-0655","6857332","Correlation|Monitoring|Optical fibers|Optical noise|Optical polarization|Signal to noise ratio","light coherence|multiplexing|optical fibre communication|optical fibre dispersion|optical fibre polarisation|optical receivers|quadrature amplitude modulation|quadrature phase shift keying","","1"
"627","627","Secondary Electron Energy Deposition in Thin Polymeric Films for Neutron-Photon Discrimination","Miller, L.F.;  Urffer, M.J.;  Mabe, A.;  Uppal, R.;  Penumadu, D.;  Schweitzer, G.","Dept. of Nucl. Eng., Univ. of Tennessee, Knoxville, TN, USA","Nuclear Science, IEEE Transactions on","23","2014","61","3","2","1381","1388","6818409","Thin polymeric films are evaluated in this research as a potential replacement technology for radiation portal monitors where specific attention is given to the physical basis for neutron-photon discrimination. It is shown that the difference in the energy deposition mechanics from charged particle reaction products and from the Compton scattered electrons allows for the effective discrimination between neutrons and gammas. One goal of this study was to establish optimal thickness for polymeric films that maximize the neutron interactions and simultaneously minimize the measured interaction of photons. Polymeric films ranging from 15 &#x03BC;m to 600 &#x03BC;m containing <sup>6</sup>LiF were fabricated and tested for their capability to satisfy criteria established by the Monte Carlo simulations with the GEANT4 code and data from measurements confirm the technical basis for our proposed understanding of neutron-photon discrimination characteristics for thin films.Department of Homeland Security. Results from Monte Carlo simulations with the GEANT4 code and data from measurements confirm the technical basis for our proposed understanding of neutron-photon discrimination characteristics for thin films.","10.1109/TNS.2014.2312822","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6818409&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6818409","Journals & Magazines","IEEE","","0018-9499","6818409","Detectors|Energy measurement|Neutrons|Photonics|Polymers|Rendering (computer graphics)","Compton effect|Monte Carlo methods|radiation monitoring|thin films","","1"
"628","628","UV-Curable Polymer Microhemisphere-Based Fiber-Optic Fabry&#x2013;Perot Interferometer for Simultaneous Measurement of Refractive Index and Temperature","Tan, X.L.;  Geng, Y.F.;  Li, X.J.;  Deng, Y.L.;  Yin, Z.;  Gao, R.","Shenzhen Key Lab. of Sensor Technol., Shenzhen Univ., Shenzhen, China","Photonics Journal, IEEE","4563994","2014","6","4","","1","8","6842650","A fiber-optic Fabry-Perot interferometer based on UV-curable polymer microhemisphere is proposed and demonstrated. The polymer microhemisphere is formed by adhering and solidifying a liquid microdroplet of UV-curable adhesive to the end face of a cleaved single-mode fiber. The height of polymer microhemisphere could be flexibly controlled by adjusting the diameter of a single-mode fiber. The theoretical and experimental results demonstrate that the refractive index (RI) and the temperature of external environment can be simultaneously measured by the fringe contrast variation and the wavelength shift of reflection spectra separately, alleviating the cross sensitivity effectively. The obtained temperature and RI sensitivities are about 0.19 nm/&#x00B0;C and 260 dB/RIU in the RI range of 1.38-1.42.","10.1109/JPHOT.2014.2332460","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6842650&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6842650","Journals & Magazines","IEEE","","1943-0655","6842650","Liquids|Optical fiber sensors|Polymers|Refractive index|Sensitivity|Temperature measurement|Temperature sensors","Fabry-Perot interferometers|curing|fibre optic sensors|optical polymers|reflectivity|refractive index measurement|temperature measurement","","1"
"629","629","Effect of Humidity on Scintillation Performance in Na and Tl Activated CsI Crystals","Pin Yang;  Harmon, C.D.;  Doty, F.P.;  Ohlhausen, J.A.","Sandia Nat. Labs., Albuquerque, NM, USA","Nuclear Science, IEEE Transactions on","23","2014","61","2","","1024","1031","6767156","Time dependent photoluminescence and radioluminescence for sodium (Na) and thallium (Tl) activated cesium iodide (CsI) single crystals exposed to 50% and 75% relative humidity (RH) has been investigated. These results indicate that Tl activated crystals are more robust than the Na activated crystals against humidity induced scintillation degradation. The development of &#x201C;etching pits&#x201D; and &#x201C;inactive&#x201D; domains are the characteristics of deteriorated Na activated CsI crystals. These &#x201C;inactive&#x201D; domains, bearing a resemblance to a polycrystalline appearance beneath the crystal surface, can be readily detected by a 250 nm light emitting diode. These features are commonly observed at the corners and deep scratched areas where moisture condensation is more likely to occur. Mechanisms contributing to the scintillation degradation in Na activated CsI crystals were investigated by Time-of-Flight Secondary Ion Mass Spectrometry (ToF-SIMS). ToF-SIMS depth profiles indicate that Na has been preferentially diffused out of CsI crystal, leaving the Na concentration in these &#x201C;inactive&#x201D; domains below its scintillation threshold.","10.1109/TNS.2014.2300471","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6767156&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6767156","Journals & Magazines","IEEE","","0018-9499","6767156","Crystals|Degradation|Detectors|Humidity|Surface treatment|Temperature measurement","scintillation counters|time of flight mass spectroscopy","","1"
"630","630","X-Ray Luminescence and X-Ray Fluorescence Computed Tomography: New Molecular Imaging Modalities","Ahmad, M.;  Pratx, G.;  Bazalova, M.;  Lei Xing","Dept. of Radiat. Oncology, Stanford Univ., Stanford, CA, USA","Access, IEEE","6287639","2014","2","","","1051","1061","6891106","X-ray luminescence and X-ray fluorescence computed tomography (CT) are two emerging technologies in X-ray imaging that provide functional and molecular imaging capability. Both emission-type tomographic imaging modalities use external X-rays to stimulate secondary emissions, either light or secondary X-rays, which are then acquired for tomographic reconstruction. These modalities surpass the limits of sensitivity in current X-ray imaging and have the potential of enabling X-ray imaging to extract molecular imaging information. These new modalities also promise to break through the spatial resolution limits of other in vivo molecular imaging modalities. This paper reviews the development of X-ray luminescence and X-ray fluorescence CT and their relative merits. The discussion includes current problems and future research directions and the role of these modalities in future molecular imaging applications.","10.1109/ACCESS.2014.2353041","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6891106&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6891106","Journals & Magazines","IEEE","","2169-3536","6891106","Computed tomography|Emissions|Luminescence|Optical imaging|Optical sensors|Stimulated emission|X-ray imaging","X-ray fluorescence analysis|computerised tomography|image reconstruction|medical image processing|reviews","","1"
"631","631","All-Fiber Low-Pedestal Spectral Compression in a Novel Architecture Based on an SMF Cascading an HNLF-NOLM","Ying Chen;  Fan Yang;  Zhiyao Zhang;  Liang Pei;  Xiaojun Zhou;  Xiangning Chen;  Yong Liu","Dept. of Optoelectron., Acad. of Equip., Beijing, China","Photonics Journal, IEEE","4563994","2014","6","5","","1","9","6887338","A novel all-fiber low-pedestal spectral compression scheme is proposed and demonstrated. The scheme is based on an anomalously dispersive single-mode fiber (SMF) cascading a nonlinear optical loop mirror with a highly nonlinear fiber (HNLF) in the loop. Both numerical and experimental results show that the spectral pedestal after spectral compression in the HNLF can be efficiently suppressed by the nonlinear optical loop mirror through the chirp-related intensity filtering effect. The measured spectral pedestal energy ratio is 9.59% using the proposed scheme, which is nearly a quarter of that using the conventional alternative based on an anomalously dispersive SMF followed by a feedthrough HNLF.","10.1109/JPHOT.2014.2352642","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6887338&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6887338","Journals & Magazines","IEEE","","1943-0655","6887338","Chirp|Clocks|Optical fiber communication|Optical fiber devices|Optical fiber dispersion|Optical pulses","mirrors|nonlinear optics|optical fibre communication","","1"
"632","632","Task Versus Vehicle-Based Control Paradigms in Multiple Unmanned Vehicle Supervision by a Single Operator","Cummings, M.L.;  Bertucelli, L.F.;  Macbeth, J.;  Surana, A.","Dept. of Mech. Eng., Duke Univ., Durham, NC, USA","Human-Machine Systems, IEEE Transactions on","6221037","2014","44","3","","353","361","6750700","There has recently been a significant amount of activity in developing supervisory control algorithms for multiple unmanned aerial vehicle operation by a single operator. While previous work has demonstrated the favorable impacts that arise in the introduction of increasingly sophisticated autonomy algorithms, little work has performed an explicit comparison of different types of multiple unmanned vehicle control architectures on operator performance and workload. This paper compares a vehicle-based paradigm (where a single operator individually assigns tasks to unmanned assets) to a task-based paradigm (where the operator generates a task list, which is then given to the group of vehicles that determine how to best divide the tasks among themselves.) The results demonstrate significant advantages in using a task-based paradigm for both overall performance and robustness to increased workload. This effort also demonstrated that while previous video gaming experience mattered for performance, the degree of experience that demonstrated benefit was minimal. Further work should focus on designing a flexible automated system that allows operators to focus on a primary goal, but also facilitate lower level control when needed without degradation in performance.","10.1109/THMS.2014.2304962","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6750700&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6750700","Journals & Magazines","IEEE","","2168-2291","6750700","Algorithm design and analysis|Automation|Cameras|Computer architecture|Hazards|Path planning|Vehicles","autonomous aerial vehicles|level control","","1"
"633","633","Development of a Technique for Characterizing Bias Temperature Instability-Induced Device-to-Device Variation at SRAM-Relevant Conditions","Meng Duan;  Jian Fu Zhang;  Zhigang Ji;  Wei Dong Zhang;  Kaczer, B.;  Schram, T.;  Ritzenthaler, R.;  Groeseneken, G.;  Asenov, A.","Sch. of Eng., John Moores Univ., Liverpool, UK","Electron Devices, IEEE Transactions on","16","2014","61","9","","3081","3089","6866905","SRAM is vulnerable to device-to-device variation (DDV), since it uses minimum-sized devices and requires device matching. In addition to the as-fabricated DDV at time-zero, aging induces a time-dependent DDV (TDDV). Bias temperature instability (BTI) is a dominant aging process. A number of techniques have been developed to characterize the BTI, including the conventional pulse-(I) -(V) , random telegraph noises, time-dependent defect spectroscopy, and TDDV accounting for the within-device fluctuation. These techniques, however, cannot be directly applied to SRAM, because their test conditions do not comply with typical SRAM operation. The central objective of this paper is to develop a technique suitable for characterizing both the negative BTI (NBTI) and positive BTI (PBTI) in SRAM. The key issues addressed include the SRAM relevant sensing Vg, measurement delay, capturing the upper envelope of degradation, sampling rate, and measurement time window. The differences between NBTI and PBTI are highlighted. The impact of NBTI and PBTI on the cell-level performance is assessed by simulation, based on experimental results obtained from individual devices. The simulation results show that, for a given static noise margin, test conditions have a significant effect on the minimum operation bias.","10.1109/TED.2014.2335053","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6866905&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6866905","Journals & Magazines","IEEE","","0018-9383","6866905","Degradation|MOSFET|Random access memory|Stress|Stress measurement|Time measurement|Video recording","SRAM chips|ageing|integrated circuit noise|negative bias temperature instability|random noise","","1"
"634","634","Compact MOSFET Modeling for Process Variability-Aware VLSI Circuit Design","Saha, S.K.","Prospicient Devices, Milpitas, CA, USA","Access, IEEE","6287639","2014","2","","","104","115","6732881","This paper presents a systematic methodology to develop compact MOSFET models for process variability-aware VLSI circuit design. Process variability in scaled CMOS technologies severely impacts the functionality, yield, and reliability of advanced integrated circuit devices, circuits, and systems. Therefore, variability-aware circuit design techniques are required for realistic assessment of the impact of random and systematic process variability in advanced VLSI circuit performance. However, variability-aware circuit design requires compact MOSFET variability models for computer analysis of the impact of process variability in VLSI circuit design. This paper describes a generalized methodology to determine the major set of device parameters sensitive to random and systematic process variability in nanoscale MOSFET devices, map each variability-sensitive device parameter to the corresponding compact model parameter of the target compact model, and generate statistical compact MOSFET models for variability-aware VLSI circuit design.","10.1109/ACCESS.2014.2304568","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6732881&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6732881","Journals & Magazines","IEEE","","2169-3536","6732881","Analytical models|Data models|Integrated circuit modeling|MOSFET|Semiconductor device modeling|Solid modeling|Very large scale integration","CMOS integrated circuits|MOSFET|integrated circuit design|semiconductor device models","","1"
"635","635","Comparison of Two Two-Photon Dressed Rules in Multi-Wave Mixing","Jia Sun;  Peiying Li;  Gaoping Huang;  Yunzhe Zhang;  Dan Zhang;  Hao Tian;  Heqing Huang;  Yanpeng Zhang","Key Lab. for Phys. Electron. & Devices, Xi'an Jiaotong Univ., Xi'an, China","Photonics Journal, IEEE","4563994","2014","6","1","","1","9","6714394","For the first time, we report a novel two-photon dressed rule in a five-level <sup>85</sup>Rb atomic system. In comparison with a traditional two-photon dressed rule where the signals move with probe field frequency detuning changing, the novel one indicates that the signals do not move with coupling field frequency detuning changing. The finding is verified by the experimentally detected transmitted probe, multi-wave mixing, and fluorescence signals. We also find that the fluorescence signals show Autler-Townes splitting, which are observed experimentally and explained theoretically. By scanning one coupling field frequency detuning, variation of the dressing strength of another coupling field is revealed. Finally, we demonstrate that the alternation can be phase controlled if one of the incident beams deviates an angle (i.e., change from a normal state to an abnormal state).","10.1109/JPHOT.2014.2300498","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6714394&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6714394","Journals & Magazines","IEEE","","1943-0655","6714394","Couplings|Energy states|Fluorescence|Laser beams|Laser excitation|Licenses|Probes","fluorescence|multiwave mixing|rubidium|transparency","","1"
"636","636","Structured Methodology for the Investigation of Contact Voltages","Hanebuth, S.C.;  Kalokitis, D.;  Cedrone, A.",", Power Survey Company, Kearny, NJ, USA","Power and Energy Technology Systems Journal, IEEE","6687318","2014","1","","","1","11","6963586","Utilities are often asked to investigate and determine the cause of elevated voltage in the urban environment. By understanding proper measurement techniques, how to interpret readings, and the possible sources of the voltage, investigators can reach speedy and accurate conclusions and eliminate unwanted voltage.","10.1109/JPETS.2014.2363403","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6963586&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6963586","Journals & Magazines","IEEE","","","6963586","Conductors|Electrical safety|Energy measurement|Harmonic analysis|Impedance|Power system reliability|Resistors|Voltage measurement|Voltmeters","","","1"
"637","637","Ultralow Propagation Loss Slot-Waveguide in High Absorption Active Material","Yongzhuo Li;  Kaiyu Cui;  Xue Feng;  Yidong Huang;  Fang Liu;  Wei Zhang","Dept. of Electron. Eng., Tsinghua Univ., Beijing, China","Photonics Journal, IEEE","4563994","2014","6","3","","1","6","6807516","A slot waveguide formed by high absorption active material is proposed to reduce the propagation loss for monolithic integration. The low propagation loss is attained by concentrating the optical field inside the low-index slot region without absorption. The simulation results show that the propagation loss at 1.55 &#x03BC;m for the slot waveguide can be as low as 1.5 dB/cm in active material with an absorption coefficient of 3000 cm<sup>-1</sup>, whereas the optical profile is set to be confined within 650 nm.","10.1109/JPHOT.2014.2320746","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6807516&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6807516","Journals & Magazines","IEEE","","1943-0655","6807516","Absorption|Indium phosphide|Optical device fabrication|Optical waveguides|Propagation losses|Silicon","absorption coefficients|integrated optics|optical losses|optical waveguides","","1"
"638","638","Symmetric 40-Gb/s, 100-km Passive Reach TWDM-PON with 53-dB Loss Budget","Zhengxuan Li;  Lilin Yi;  Wei Wei;  Meihua Bi;  Hao He;  Shilin Xiao;  Weisheng Hu","State Key Lab. of Adv. Opt. Commun. Syst. & Networks, Shanghai Jiao Tong Univ., Shanghai, China","Lightwave Technology, Journal of","50","2014","32","21","","3991","3998","6857318","A truly passive long-reach, symmetric 40-Gb/s time and wavelength division multiplexed passive optical network (TWDM-PON) with a high loss budget is demonstrated, using direct modulation and direct detection in both upstream and downstream directions. Thermally tuned directly modulated lasers (DMLs) are employed to serve as both upstream and downstream transmitters, not only owing to their low cost, but also, as a carrier-less modulation method, where the signal generated by direct modulation is demonstrated to be more robust to high launch power induced fiber nonlinearities compared with external intensity modulation formats with strong carrier power. Therefore, DML is suitable for applying in TWDM-PON to achieve a high loss budget. Moreover, the frequency chirp induced dispersion of directly-modulated signal is managed thanks to the combination of optical spectral reshaping and dispersion supported transmission effects, which makes it possible for the directly-modulated signal to reach a distance of 100 km and still with a good quality. As a result, a system loss budget of 53 dB is achieved, supporting more than 1000 users with 100-km purely passive reach, which is the first demonstration of high loss budget, long reach TWDM-PONs to our best knowledge.","10.1109/JLT.2014.2338055","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6857318&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6857318","Journals & Magazines","IEEE","","0733-8724","6857318","Optical fiber dispersion|Optical fibers|Optical losses|Optical transmitters|Passive optical networks|Sensitivity|Vertical cavity surface emitting lasers","fibre lasers|light transmission|optical fibre dispersion|optical modulation|optical transmitters|passive optical networks|time division multiplexing|wavelength division multiplexing","","1"
"639","639","Tactile Sensing Chips With POSFET Array and Integrated Interface Electronics","Dahiya, R.S.;  Adami, A.;  Pinna, L.;  Collini, C.;  Valle, M.;  Lorenzelli, L.","Dept. of Electron. & Nanoscale Eng., Univ. of Glasgow, Glasgow, UK","Sensors Journal, IEEE","7361","2014","14","10","","3448","3457","6877629","PThis paper presents the advanced version of novel piezoelectric oxide semiconductor field effect transistor (POSFET) devices-based tactile sensing chip. The new version of the tactile sensing chip presented here comprises of a 4 &#x00D7; 4 array of POSFET touch sensing devices and integrated interface electronics (i.e., multiplexers, high compliance current sinks, and voltage output buffers). The chip also includes four temperature diodes for the measurement of contact temperature. Various components on the chip have been characterized systematically and the overall operation of the tactile sensing system has been evaluated. With new design, the POSFET devices have improved performance [i.e., linear response in the dynamic contact forces range of 0.01-3 N and sensitivity (without amplification) of 102.4 mV/N], which is more than twice the performance of their previous implementations. The integrated interface electronics result in reduced interconnections which otherwise would be needed to connect the POSFET array with off-chip interface electronic circuitry. This paper paves the way for CMOS implementation of full on-chip tactile sensing systems based on POSFETs.","10.1109/JSEN.2014.2346742","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6877629&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877629","Journals & Magazines","IEEE","","1530-437X","6877629","Arrays|Capacitance|Logic gates|Robot sensing systems|System-on-chip|Temperature measurement","CMOS integrated circuits|field effect transistors|piezoelectric semiconductors|tactile sensors|temperature measurement","","1"
"640","640","Ultrafast imaging in biomedical ultrasound","Tanter, M.;  Fink, M.","Inst. Langevin, Ecole Super. de Phys. et de Chim. Industrielles de la Ville de Paris (ESPCI), Paris, France","Ultrasonics, Ferroelectrics, and Frequency Control, IEEE Transactions on","58","2014","61","1","","102","119","6689779","Although the use of ultrasonic plane-wave transmissions rather than line-per-line focused beam transmissions has been long studied in research, clinical application of this technology was only recently made possible through developments in graphical processing unit (GPU)-based platforms. Far beyond a technological breakthrough, the use of plane or diverging wave transmissions enables attainment of ultrafast frame rates (typically faster than 1000 frames per second) over a large field of view. This concept has also inspired the emergence of completely novel imaging modes which are valuable for ultrasound-based screening, diagnosis, and therapeutic monitoring. In this review article, we present the basic principles and implementation of ultrafast imaging. In particular, present and future applications of ultrafast imaging in biomedical ultrasound are illustrated and discussed.","10.1109/TUFFC.2014.2882","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6689779&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6689779","Journals & Magazines","IEEE","","0885-3010","6689779","Acoustics|Biomedical imaging|Holography|Optical imaging|Ultrafast optics|Ultrasonic imaging","biomedical ultrasonics|graphics processing units|patient monitoring|reviews|ultrasonic transmission","","1"
"641","641","Automatic Generation of Statistical Pose and Shape Models for Articulated Joints","Xin Chen;  Graham, J.;  Hutchinson, C.;  Muir, L.","Centre for Imaging Sci., Univ. of Manchester, Manchester, UK","Medical Imaging, IEEE Transactions on","42","2014","33","2","","372","383","6630071","Statistical analysis of motion patterns of body joints is potentially useful for detecting and quantifying pathologies. However, building a statistical motion model across different subjects remains a challenging task, especially for a complex joint like the wrist. We present a novel framework for simultaneous registration and segmentation of multiple 3-D (CT or MR) volumes of different subjects at various articulated positions. The framework starts with a pose model generated from 3-D volumes captured at different articulated positions of a single subject (template). This initial pose model is used to register the template volume to image volumes from new subjects. During this process, the Grow-Cut algorithm is used in an iterative refinement of the segmentation of the bone along with the pose parameters. As each new subject is registered and segmented, the pose model is updated, improving the accuracy of successive registrations. We applied the algorithm to CT images of the wrist from 25 subjects, each at five different wrist positions and demonstrated that it performed robustly and accurately. More importantly, the resulting segmentations allowed a statistical pose model of the carpal bones to be generated automatically without interaction. The evaluation results show that our proposed framework achieved accurate registration with an average mean target registration error of 0.34 &#x00B1;0.27 mm. The automatic segmentation results also show high consistency with the ground truth obtained semi-automatically. Furthermore, we demonstrated the capability of the resulting statistical pose and shape models by using them to generate a measurement tool for scaphoid-lunate dissociation diagnosis, which achieved 90% sensitivity and specificity.","10.1109/TMI.2013.2285503","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6630071&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6630071","Journals & Magazines","IEEE","","0278-0062","6630071","Bones|Image segmentation|Joints|Mathematical model|Radio access networks|Three-dimensional displays|Wrist","biomedical MRI|bone|computerised tomography|diseases|image registration|image segmentation|iterative methods|medical image processing|statistical analysis","","1"
"642","642","Optical Vector Network Analyzer Based on Single-Sideband Modulation and Segmental Measurement","Wei Li;  Wen Ting Wang;  Li Xian Wang;  Ning Hua Zhu","State Key Lab. on Integrated Optoelectron., Inst. of Semicond., Beijing, China","Photonics Journal, IEEE","4563994","2014","6","2","","1","8","6766237","We propose an optical vector network analyzer (OVNA) based on single-sideband (SSB) modulation and segmental measurement. The motivation of this work lies in the fact that it is hard for the previous SSB-based OVNA to measure a device-under-test (DUT) with bandpass response. In our scheme, the transmission response of the DUT is divided into several segments, which are measured one by one using the SSB modulation method. The frequency interval between adjacent segments is precisely controlled by a microwave source. The full transmission response of the DUT is obtained by combining the measured results of different segments. The adjacent segments are connected using the overlapped transmission responses. A proof-of-concept experiment was carried out to measure the transmission response of an optical bandpass filter. It was successfully obtained over a frequency range of 80.05 GHz with a resolution of 25 MHz.","10.1109/JPHOT.2014.2311443","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6766237&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6766237","Journals & Magazines","IEEE","","1943-0655","6766237","Amplitude modulation|Frequency modulation|Optical fibers|Optical filters|Optical modulation|Optical variables measurement","band-pass filters|network analysers|optical filters|optical modulation","","1"
"643","643","Single-Flange 2-Port TRL Calibration for Accurate THz <formula formulatype=""inline""> <img src=""/images/tex/702.gif"" alt=""{\rm S}""> </formula>-Parameter Measurements of Waveguide Integrated Circuits","Hanning, J.;  Stenarson, J.;  Yhland, K.;  Sobis, P.J.;  Bryllert, T.;  Stake, J.","Dept. of Microtechnol. & Nanosci.-MC2, Chalmers Univ. of Technol., Go&#x0308;teborg, Sweden","Terahertz Science and Technology, IEEE Transactions on","5503871","2014","4","5","","582","587","6877746","This paper describes a single flange 2-port measurement setup for S-parameter characterization of waveguide integrated devices. The setup greatly reduces calibration and measurement uncertainty by eliminating vector network analyzer (VNA) extender cable movement and minimizing the effect of waveguide manufacturing tolerances. Change time of standards is also improved, reducing the influence of VNA drift on the uncertainty. A TRL calibration kit has been manufactured and measurements are demonstrated in WR-03 (220-325 GHz).","10.1109/TTHZ.2014.2342497","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6877746&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877746","Journals & Magazines","IEEE","","2156-342X","6877746","Calibration|Educational institutions|Microwave circuits|Standards|Uncertainty","S-parameters|calibration|measurement uncertainty|microwave integrated circuits|network analysers|substrate integrated waveguides","","1"
